annex,area,country,Effective Effort,fishery,gear,mesh_size_range,quarter,ICES rectangle,regulated area,regulated gear,specon,vessel length,year
IIA,4,DEU,469,NONE,DREDGE,<16,1,38F8,3B2,DREDGE,NONE,O15M,2004
IIA,4,DNK,72,DNK_REST_NORD__N,DREDGE,NONE,1,40F7,3B2,DREDGE,NONE,O15M,2004
IIA,4,DNK,40,DNK_REST_NORD__N,DREDGE,NONE,1,41F8,3B2,DREDGE,NONE,O15M,2004
IIA,4,DNK,477,DNK_REST_NORD__N,DREDGE,NONE,1,42F8,3B2,DREDGE,NONE,O15M,2004
IIA,4,DNK,86,DNK_REST_NORD__N,DREDGE,NONE,1,42F9,3B2,DREDGE,NONE,O15M,2004
IIA,4,ENG,48,NONE,DREDGE,<16,1,36F1,3B2,DREDGE,NONE,O15M,2004
IIA,4,ENG,360,NONE,DREDGE,<16,1,37F0,3B2,DREDGE,NONE,O15M,2004
IIA,4,ENG,216,NONE,DREDGE,<16,1,38E9,3B2,DREDGE,NONE,O15M,2004
IIA,4,ENG,348,NONE,DREDGE,<16,1,41E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,ENG,480,NONE,DREDGE,<16,1,42E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,ENG,363,NONE,DREDGE,<16,1,42E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,ENG,444,NONE,DREDGE,<16,1,43E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,ENG,333,NONE,DREDGE,<16,1,43E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,ENG,72,NONE,DREDGE,100-119,1,43E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,FRA,102,COASTAL,DREDGE,80-89,1,31F2,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,353,NONE,DREDGE,NONE,1,41E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,240,NONE,DREDGE,NONE,1,41E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,4220,NONE,DREDGE,NONE,1,42E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,2026,NONE,DREDGE,NONE,1,42E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,30,NONE,DREDGE,NONE,1,43E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,1867,NONE,DREDGE,NONE,1,43E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,176,NONE,DREDGE,NONE,1,43E9,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,961,NONE,DREDGE,NONE,1,44E6,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,687,NONE,DREDGE,NONE,1,44E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,1924,NONE,DREDGE,NONE,1,44E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,3168,NONE,DREDGE,NONE,1,45E6,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,3051,NONE,DREDGE,NONE,1,45E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,204,NONE,DREDGE,NONE,1,46E6,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,492,NONE,DREDGE,NONE,1,46E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,216,NONE,DREDGE,NONE,1,47E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,24,NONE,DREDGE,NONE,1,48E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,125,NONE,DREDGE,NONE,1,48E9,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,288,NONE,DREDGE,NONE,1,49E7,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,1034,NONE,DREDGE,NONE,1,49E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,1099,NONE,DREDGE,NONE,1,49E9,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,101,NONE,DREDGE,NONE,1,50E8,3B2,DREDGE,NONE,O15M,2004
IIA,4,SCO,1122,NONE,DREDGE,NONE,1,50E9,3B2,DREDGE,NONE,O15M,2004
IIA,4,BEL,205,NONE,GILL,NONE,1,31F1,3B2,GN1,NONE,O10T15M,2004
IIA,4,BEL,14,NONE,GILL,NONE,1,31F2,3B2,GN1,NONE,O10T15M,2004
IIA,4,BEL,81,NONE,GILL,NONE,1,32F1,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,5,DNK_GARN_PGH___N,GILL,>=220,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,12,DNK_GARN_RSP___N,GILL,>=220,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,24,DNK_GARN_TOR___N,GILL,>=220,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,12,DNK_GARN_TOR___N,GILL,>=220,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,23,DNK_GARN_TOR___N,GILL,>=220,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,44,DNK_REST_NORD__N,GILL,>=220,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,6,DNK_REST_NORD__N,GILL,>=220,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,98,DNK_REST_NORD__N,GILL,>=220,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,10,DNK_REST_NORD__N,GILL,>=220,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,11,DNK_GARN_RSP___N,GILL,100-109,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,77,DNK_GARN_PGH___N,GILL,110-149,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,11,DNK_GARN_PGH___N,GILL,110-149,1,41F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,46,DNK_GARN_PGH___N,GILL,110-149,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,25,DNK_GARN_PGH___N,GILL,110-149,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,426,DNK_GARN_RSP___N,GILL,110-149,1,40F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,8,DNK_GARN_RSP___N,GILL,110-149,1,41F4,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,1010,DNK_GARN_RSP___N,GILL,110-149,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,13,DNK_GARN_RSP___N,GILL,110-149,1,41F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,502,DNK_GARN_RSP___N,GILL,110-149,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,100,DNK_GARN_RSP___N,GILL,110-149,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,21,DNK_GARN_RSP___N,GILL,110-149,1,43F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,1185,DNK_GARN_RSP___N,GILL,110-149,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,8,DNK_GARN_TNG___N,GILL,110-149,1,40F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,103,DNK_GARN_TNG___N,GILL,110-149,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,116,DNK_GARN_TNG___N,GILL,110-149,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,11,DNK_GARN_TNG___N,GILL,110-149,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,137,DNK_GARN_TNG___N,GILL,110-149,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,97,DNK_GARN_TOR___N,GILL,110-149,1,40F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,577,DNK_GARN_TOR___N,GILL,110-149,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,920,DNK_GARN_TOR___N,GILL,110-149,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,297,DNK_GARN_TOR___N,GILL,110-149,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,14,DNK_GARN_TOR___N,GILL,110-149,1,43F1,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,21,DNK_GARN_TOR___N,GILL,110-149,1,43F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,2504,DNK_GARN_TOR___N,GILL,110-149,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,22,DNK_REST_NORD__N,GILL,110-149,1,40F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,9,DNK_REST_NORD__N,GILL,110-149,1,41F6,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,203,DNK_REST_NORD__N,GILL,110-149,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,95,DNK_REST_NORD__N,GILL,110-149,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,39,DNK_REST_NORD__N,GILL,110-149,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,105,DNK_REST_NORD__N,GILL,110-149,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,78,DNK_GARN_PGH___N,GILL,150-219,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,24,DNK_GARN_PGH___N,GILL,150-219,1,42F6,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,14,DNK_GARN_PGH___N,GILL,150-219,1,43F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,120,DNK_GARN_RSP___N,GILL,150-219,1,40F6,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,276,DNK_GARN_RSP___N,GILL,150-219,1,40F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,1131,DNK_GARN_RSP___N,GILL,150-219,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,12,DNK_GARN_RSP___N,GILL,150-219,1,42F1,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,311,DNK_GARN_RSP___N,GILL,150-219,1,42F6,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,680,DNK_GARN_RSP___N,GILL,150-219,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,97,DNK_GARN_RSP___N,GILL,150-219,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,184,DNK_GARN_RSP___N,GILL,150-219,1,43F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,181,DNK_GARN_RSP___N,GILL,150-219,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,4,DNK_GARN_TNG___N,GILL,150-219,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,34,DNK_GARN_TNG___N,GILL,150-219,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,21,DNK_GARN_TNG___N,GILL,150-219,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,91,DNK_GARN_TOR___N,GILL,150-219,1,40F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,12,DNK_GARN_TOR___N,GILL,150-219,1,41F6,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,2122,DNK_GARN_TOR___N,GILL,150-219,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,5,DNK_GARN_TOR___N,GILL,150-219,1,41F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,48,DNK_GARN_TOR___N,GILL,150-219,1,42F2,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,1645,DNK_GARN_TOR___N,GILL,150-219,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,655,DNK_GARN_TOR___N,GILL,150-219,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,260,DNK_GARN_TOR___N,GILL,150-219,1,43F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,1231,DNK_GARN_TOR___N,GILL,150-219,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,151,DNK_REST_NORD__N,GILL,150-219,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,98,DNK_REST_NORD__N,GILL,150-219,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,40,DNK_REST_NORD__N,GILL,150-219,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,24,DNK_REST_NORD__N,GILL,150-219,1,43F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,160,DNK_REST_NORD__N,GILL,150-219,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,28,DNK_GARN_RSP___N,GILL,70-79,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,51,DNK_GARN_TOR___N,GILL,70-79,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,262,DNK_GARN_TOR___N,GILL,70-79,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,36,DNK_GARN_TOR___N,GILL,70-79,1,43F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,7,DNK_REST_NORD__N,GILL,70-79,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,7,DNK_GARN_RSP___N,GILL,80-89,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,16,DNK_GARN_TOR___N,GILL,80-89,1,42F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,23,DNK_REST_NORD__N,GILL,90-99,1,40F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,11,DNK_REST_NORD__N,GILL,NONE,1,41F7,3B2,GN1,NONE,O10T15M,2004
IIA,4,DNK,7,DNK_REST_NORD__N,GILL,NONE,1,42F8,3B2,GN1,NONE,O10T15M,2004
IIA,4,BEL,174,NONE,BEAM,16-31,1,31F2,3B2,BEAM,NONE,O10T15M,2004
IIA,4,BEL,22,NONE,BEAM,16-31,1,31F3,3B2,BEAM,NONE,O10T15M,2004
IIA,4,BEL,308,NONE,BEAM,80-89,1,31F2,3B2,BT2,NONE,O10T15M,2004
IIA,4,DEU,311,NONE,BEAM,16-31,1,36F7,3B2,BEAM,NONE,O10T15M,2004
IIA,4,DEU,598,NONE,BEAM,16-31,1,36F8,3B2,BEAM,NONE,O10T15M,2004
IIA,4,DEU,561,NONE,BEAM,16-31,1,37F8,3B2,BEAM,NONE,O10T15M,2004
IIA,4,DEU,505,NONE,BEAM,16-31,1,38F8,3B2,BEAM,NONE,O10T15M,2004
IIA,4,DEU,141,NONE,BEAM,16-31,1,39F8,3B2,BEAM,NONE,O10T15M,2004
IIA,4,DNK,84,DNK_HESTE_REJ__N,BEAM,16-31,1,39F7,3B2,BEAM,NONE,O10T15M,2004
IIA,4,DNK,680,DNK_HESTE_REJ__N,BEAM,16-31,1,39F8,3B2,BEAM,NONE,O10T15M,2004
IIA,4,DNK,274,DNK_HESTE_REJ__N,BEAM,16-31,1,40F7,3B2,BEAM,NONE,O10T15M,2004
IIA,4,DNK,265,DNK_HESTE_REJ__N,BEAM,16-31,1,40F8,3B2,BEAM,NONE,O10T15M,2004
IIA,4,ENG,96,NONE,BEAM,16-31,1,31F0,3B2,BEAM,NONE,O10T15M,2004
IIA,4,ENG,48,NONE,BEAM,16-31,1,33F1,3B2,BEAM,NONE,O10T15M,2004
IIA,4,ENG,3116,NONE,BEAM,16-31,1,34F0,3B2,BEAM,NONE,O10T15M,2004
IIA,4,ENG,1200,NONE,BEAM,16-31,1,34F1,3B2,BEAM,NONE,O10T15M,2004
